CNN Politics,219367258105115,liberal
ABC News,86680728811,liberal
NBC News,155869377766434,liberal
CBS News,131459315949,liberal
MSNBC,273864989376427,liberal
Fox News,15704546335,conservative
The New York Times,5281959998,liberal
USA Today,13652355666,liberal
The Huffington Post,18468761129,liberal
Yahoo News,338028696036,neutral
Washington Post,6250307292,liberal
The Wall Street Journal,8304333127,neutral
NPR,10643211755,liberal
The Guardian,10513336322,liberal
The Economist,6013004059,liberal
Wikinews,48245858048,neutral
AlterNet,17108852506,neutral
The Real News Network,16512617979,neutral
Reuters,114050161948682,neutral
The Independent,13312631635,neutral
PBS NewsHour,6491828674,neutral
BBC News,228735667216,neutral
C-SPAN,21472760578,neutral
Bloomberg Politics,1481073582140028,neutral
The New Yorker,9258148868,liberal